nu_cm1,S_cm_per_molec,gamma_air,gamma_self,elower,iso,band_upper,band_lower,branch_J
1260.7064,1.110e-28,0.0759,0.097,2365.8576,1,0600,0001,R 18e
1260.7066,2.002e-27,0.088,0.11,1746.0325,4,1310,0310,Q 6f
1260.7073,7.314e-28,0.0687,0.081,1851.2326,4,1220,0220,Q 41f
1260.7100,2.368e-28,0.0745,0.094,1929.6707,4,1310,0310,Q 22e
1260.7182,1.802e-27,0.0699,0.084,4189.366,1,2420,1420,P 36f
1260.7196,1.349e-28,0.0701,0.085,3406.2955,3,1530,0530,P 35f
1260.7204,2.696e-28,0.0749,0.095,1912.255,4,1310,0310,Q 21e
1260.7224,1.181e-28,0.0704,0.086,3293.7312,1,1111,0111,Q 34f
1260.7231,1.350e-28,0.0701,0.085,3406.2853,3,1530,0530,P 35e
1260.7236,2.933e-27,0.0906,0.112,2560.7141,2,3000,2000,P 4e
1260.7275,3.270e-24,0.0791,0.102,671.7924,5,1110,0110,P 14e
1260.7305,3.064e-28,0.0754,0.096,1895.6303,4,1310,0310,Q 20e
1260.7314,3.265e-24,0.0791,0.102,671.9502,5,1110,0110,P 14f
1260.7329,7.493e-26,0.0741,0.094,3395.9448,1,3110,2110,P 23f
1260.7337,3.350e-27,0.0777,0.1,2446.4912,4,1440,0440,P 16e
1260.7337,3.350e-27,0.0777,0.1,2446.4912,4,1440,0440,P 16f
1260.7379,2.035e-25,0.0777,0.1,1272.3647,5,1200,0200,P 16e
1260.7399,3.478e-28,0.0759,0.097,1879.7966,4,1310,0310,Q 19e
1260.7403,1.239e-26,0.0683,0.08,3695.3142,1,1510,0510,P 43f
1260.7419,2.427e-27,0.0892,0.111,1741.2652,4,1310,0310,Q 5f
1260.7486,4.509e-27,0.0722,0.09,2634.9123,3,1400,0400,P 28e
1260.7491,3.943e-28,0.0765,0.098,1864.754,4,1310,0310,Q 18e
1260.7575,4.467e-28,0.077,0.099,1850.5028,4,1310,0310,Q 17e
