molecule,nu_cm1,S_cm_per_molec,iso,elower
N2O,1296.6300,4.270e-25,1,1814.7
N2O,1296.6459,1.185e-27,1,3155.9
N2O,1296.6476,1.647e-27,1,2694.6
H2O,1296.6490,3.072e-28,1,704.2
N2O,1296.6527,5.223e-27,1,3831.1
N2O,1296.6530,5.224e-27,1,3831.1
N2O,1296.6682,1.855e-23,1,1278.6
N2O,1296.6703,2.031e-27,1,2655.2
N2O,1296.6747,1.855e-23,1,1278.6
N2O,1296.6807,9.383e-26,1,3324.3
N2O,1296.6843,4.535e-25,1,2325.1
H2O,1296.6856,5.783e-27,1,3939.7
N2O,1296.6922,2.497e-27,1,2616.7
N2O,1296.7060,7.338e-28,1,2066.2
H2O,1296.7093,3.632e-22,1,1475.0
N2O,1296.7096,4.881e-25,1,1804.6
N2O,1296.7135,3.059e-27,1,2579.0
N2O,1296.7136,1.408e-23,1,1784.6
N2O,1296.7136,1.408e-23,1,1784.6
N2O,1296.7136,5.397e-22,1,1496.0
N2O,1296.7168,2.109e-23,1,1266.0
N2O,1296.7217,2.109e-23,1,1266.0
N2O,1296.7342,3.734e-27,1,2542.2
N2O,1296.7388,2.833e-28,1,4320.4
N2O,1296.7388,2.833e-28,1,4320.4
N2O,1296.7391,7.868e-26,1,2944.4
N2O,1296.7391,7.868e-26,1,2944.4
N2O,1296.7445,1.190e-27,1,3155.8
N2O,1296.7518,3.765e-28,1,4170.5
N2O,1296.7518,3.765e-28,1,4170.5
N2O,1296.7533,5.119e-26,1,2906.3
N2O,1296.7542,4.543e-27,1,2506.2
N2O,1296.7620,2.400e-23,1,1254.2
N2O,1296.7657,2.400e-23,1,1254.2
N2O,1296.7691,5.122e-26,1,2906.2
N2O,1296.7737,5.508e-27,1,2471.0
N2O,1296.7826,5.598e-25,1,1795.4
N2O,1296.7880,9.559e-28,1,3090.9
N2O,1296.7925,6.656e-27,1,2436.6
N2O,1296.7943,2.061e-24,1,2527.2
N2O,1296.7978,1.107e-28,1,3489.1
N2O,1296.8040,2.735e-23,1,1243.3
N2O,1296.8067,2.735e-23,1,1243.3
N2O,1296.8108,8.016e-27,1,2403.1
N2O,1296.8233,2.273e-26,1,3584.3
N2O,1296.8253,1.526e-27,1,3108.0
N2O,1296.8284,9.621e-27,1,2370.4
N2O,1296.8365,1.836e-28,1,3240.3
N2O,1296.8426,3.123e-23,1,1233.2
N2O,1296.8446,3.124e-23,1,1233.2
N2O,1296.8447,5.335e-27,1,3679.8
N2O,1296.8447,5.335e-27,1,3679.8
N2O,1296.8456,1.151e-26,1,2338.6
N2O,1296.8490,6.453e-25,1,1787.0
N2O,1296.8621,1.372e-26,1,2307.6
N2O,1296.8676,4.686e-27,1,3978.0
N2O,1296.8780,3.580e-23,1,1224.0
N2O,1296.8782,1.631e-26,1,2277.4
N2O,1296.8793,3.580e-23,1,1224.0
N2O,1296.8937,1.933e-26,1,2248.1
N2O,1296.9046,1.401e-28,1,3445.5
N2O,1296.9087,2.283e-26,1,2219.6
N2O,1296.9087,7.493e-25,1,1779.4
N2O,1296.9101,4.125e-23,1,1215.6
N2O,1296.9110,4.125e-23,1,1215.6
N2O,1296.9148,1.532e-27,1,3108.0
N2O,1296.9228,5.780e-27,1,3553.3
N2O,1296.9228,5.780e-27,1,3553.3
N2O,1296.9232,2.687e-26,1,2191.9
N2O,1296.9352,3.524e-23,1,1956.2
N2O,1296.9371,3.155e-26,1,2165.1
N2O,1296.9390,4.787e-23,1,1208.0
N2O,1296.9396,4.787e-23,1,1208.0
N2O,1296.9406,9.951e-26,1,3076.3
N2O,1296.9436,1.520e-27,1,4329.0
N2O,1296.9506,3.692e-26,1,2139.1
N2O,1296.9618,8.788e-25,1,1772.6
N2O,1296.9636,4.308e-26,1,2113.9
N2O,1296.9646,5.612e-23,1,1201.3
N2O,1296.9650,5.612e-23,1,1201.3
N2O,1296.9659,1.349e-28,1,2410.9
H2O,1296.9682,2.944e-30,1,1255.9
N2O,1296.9761,5.013e-26,1,2089.6
N2O,1296.9796,1.169e-27,1,3055.6
N2O,1296.9797,1.945e-28,1,4388.0
N2O,1296.9797,1.945e-28,1,4388.0
N2O,1296.9823,9.949e-26,1,3076.4
N2O,1296.9870,6.674e-23,1,1195.4
N2O,1296.9872,6.674e-23,1,1195.4
N2O,1296.9882,5.817e-26,1,2066.2
H2O,1296.9933,8.698e-25,1,2144.0
N2O,1296.9956,3.522e-23,1,1956.4
N2O,1296.9990,4.295e-27,1,3492.1
N2O,1296.9994,4.295e-27,1,3492.1
N2O,1296.9998,6.732e-26,1,2043.5
N2O,1297.0014,1.957e-27,1,3061.0
N2O,1297.0062,8.104e-23,1,1190.3
N2O,1297.0063,8.104e-23,1,1190.3
N2O,1297.0083,1.046e-24,1,1766.8
N2O,1297.0109,7.770e-26,1,2021.7
N2O,1297.0110,1.767e-28,1,3402.7
N2O,1297.0216,8.947e-26,1,2000.7
